,name,x,y,address
146,CLERAC FR,-0.2286908,45.1815802,"Clérac, Jonzac, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17270, France"
147,COCHE LA FR,4.7092215,49.4547866,"Coche, Terron-sur-Aisne, Vouziers, Ardennes, Grand Est, France métropolitaine, 08400, France"
148,CORDEMAIS-POSTE FR,-1.8703985672185413,47.286116050000004,"Poste électrique de Cordemais, La Chevalerais, Cordemais, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44360, France"
149,CORNIER FR,6.295974793828716,46.08960965,"Cornier, Bonneville, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74800, France"
150,COULANGE FR,1.2406316,47.134132,"Coulangé, Villeloin-Coulangé, Loches, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37460, France"
151,COURCELLES BE,4.376008,50.4574699,"Courcelles, Charleroi, Hainaut, Wallonie, 6180, België / Belgique / Belgien"
152,CRENEY FR,4.1272391,48.333367,"Creney-près-Troyes, Troyes, Aube, Grand Est, France métropolitaine, 10150, France"
153,CREYS FR,5.481864834314727,45.73871895,"Creys, Creys-Mépieu, La Tour-du-Pin, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38510, France"
154,CUBNEZAIS FR,-0.40786,45.07378,"Cubnezais, Blaye, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33620, France"
155,CZARNA PL,18.6338405,51.3938508,"Czarna, gmina Złoczew, powiat sieradzki, województwo łódzkie, 98-270, Polska"
156,CZECZOT PL,20.967684295148647,52.282315499999996,"""Osorno"" Krzysztof Czeczot, 4, Edwarda Stachury, Marymont-Kaskada, Bielany, Warszawa, województwo mazowieckie, 01-684, Polska"
157,CZERWONAK PL,16.98026,52.46696,"Czerwonak, gmina Czerwonak, powiat poznański, województwo wielkopolskie, 62-004, Polska"
158,Calafat RO,22.9337027,43.9942983,"Calafat, Dolj, 205200, România"
159,Calea Aradului RO,21.2110139,45.777778,"Calea Torontalului, Aradului, Timișoara, Timiș, 300633, România"
